date,month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation,occupant_count,indoor_dry_bulb_temperature_set_point,hvac_mode,building_id,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,carbon_intensity,outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h
2023-06-01 00:00:00,6,1,5,0,23.098652,-0.1235699,61.086185,0.35683933,0.055682074,1.1192156,0.0,0.0,3.0,23.222221,1,1,0.02893,0.02893,0.02915,0.02893,0.40248835,24.66,77.56,0.0,0.0,24.910639,38.41596,27.611464,72.98027,41.82236,83.230995,54.625927,116.84289,0.0,143.32434,1020.7561,0.0
2023-06-01 01:00:00,6,2,5,0,22.234743,0.012520019,64.36138,0.34507817,0.15933841,1.4696382,0.0,0.0,3.0,22.222221,1,1,0.02893,0.02915,0.02915,0.02893,0.38262463,24.07,85.12,0.0,0.0,27.076563,38.31935,23.5155,87.31766,37.910023,95.35395,78.37548,89.220505,0.0,300.36105,825.0973,0.0
2023-06-01 02:00:00,6,3,5,0,22.22306,0.0008384048,64.493416,0.33876896,0.057004254,1.4583724,0.0,0.0,3.0,22.222221,1,1,0.02893,0.02915,0.02915,0.02893,0.3694583,23.9,89.62,0.0,0.0,29.351833,39.150482,23.659443,60.341454,30.190199,66.26641,259.82214,82.855934,0.0,196.69113,987.9093,0.0
2023-06-01 03:00:00,6,4,5,0,22.22225,2.8585051e-05,64.7697,0.33485606,0.0,1.3373424,0.0,0.0,3.0,22.222221,1,1,0.02893,0.02915,0.05867,0.02893,0.36701688,23.87,91.88,0.0,0.0,31.032974,40.934788,26.686003,50.063927,31.51974,94.45637,248.63153,105.13012,0.0,465.4832,854.33185,0.0
2023-06-01 04:00:00,6,5,5,0,22.222237,1.4061776e-05,65.15212,0.34860697,0.0,1.1634532,0.0,0.0,3.0,22.222221,1,1,0.02893,0.02915,0.05867,0.02893,0.37403992,23.83,93.06,0.0,0.0,33.81447,39.717842,24.467758,40.942577,33.119545,100.0,272.82516,75.62798,0.0,569.2033,941.24335,0.0
2023-06-01 05:00:00,6,6,5,0,22.222237,1.5117419e-05,65.871284,0.34689447,0.33483398,1.3357149,0.0,0.0,3.0,22.222221,1,1,0.02893,0.02915,0.05867,0.02893,0.38520414,23.85,93.25,0.0,0.0,36.442673,38.721996,25.222326,44.298462,31.612091,100.0,132.1965,65.86417,0.0,911.7501,468.38348,0.0
2023-06-01 06:00:00,6,7,5,0,22.22223,9.287227e-06,66.065575,0.408589,0.9058187,1.2389414,0.0,25.331348,2.0,22.222221,1,1,0.02893,0.02915,0.02915,0.02893,0.395415,24.98,86.19,56.19,140.63,36.91956,34.716496,24.522085,39.48785,30.496082,73.83951,133.81879,41.657166,63.052147,703.67645,234.78137,185.17834
2023-06-01 07:00:00,6,8,5,0,22.332556,-0.0007783342,65.94541,0.40251273,0.0,1.319662,0.0,91.302536,2.0,22.333334,1,1,0.02915,0.02915,0.02915,0.02893,0.41118348,26.94,74.56,90.91,268.13,38.978542,33.50567,27.364582,28.588518,56.134216,63.50454,96.567314,0.0,189.49379,916.1268,0.0,401.81763
2023-06-01 08:00:00,6,9,5,0,22.771797,-0.0059799105,64.09834,0.45280996,3.3150163,4.0250163,0.0,221.97502,2.0,22.777779,1,1,0.02915,0.02915,0.02915,0.02893,0.4328323,29.3,62.75,218.81,197.38,39.550983,29.976658,30.812954,23.190601,36.9184,65.21076,122.01821,0.0,147.05728,998.7861,0.0,624.6431
2023-06-01 09:00:00,6,10,5,0,23.266788,-0.06654502,62.219505,0.40067595,0.21539555,2.458844,0.0,401.64407,1.0,23.333334,1,1,0.02915,0.05867,0.02915,0.02893,0.42848545,31.66,52.56,278.2,405.23,39.498924,28.91843,33.26022,27.604939,67.00303,29.821941,128.23572,0.0,148.78285,834.03296,0.0,844.4681
2023-06-01 10:00:00,6,11,5,0,24.40689,-0.03755298,58.288273,0.39833075,0.0,1.6538339,0.0,564.91034,1.0,24.444445,1,1,0.02915,0.05867,0.02893,0.02893,0.45759925,33.87,44.19,328.87,539.94,40.085255,27.676508,35.020977,29.998062,54.172047,27.241003,102.59606,0.0,172.22371,682.6962,0.0,749.1275
2023-06-01 11:00:00,6,12,5,0,24.444319,-0.00012593795,58.101315,0.39929098,1.6562988,3.2172143,0.0,668.9316,1.0,24.444445,1,1,0.02915,0.05867,0.02893,0.02893,0.48746818,35.9,37.88,112.41,874.11,37.527287,26.089806,36.691208,22.400305,59.200375,33.915173,72.89809,0.0,219.14189,586.8953,0.0,1072.8214
2023-06-01 12:00:00,6,13,5,0,24.44445,6.2460344e-06,57.927357,0.40301776,0.2264962,3.0492523,0.0,683.7988,1.0,24.444445,1,1,0.02915,0.02915,0.02893,0.02893,0.49153635,37.51,33.25,121.83,844.38,36.916813,25.90339,38.72669,36.89418,84.427086,23.774311,57.42244,0.0,106.155914,389.9759,0.0,686.0481
2023-06-01 13:00:00,6,14,5,0,24.444452,6.915498e-06,57.645706,0.3561344,0.0,3.5096958,0.0,687.1585,0.0,24.444445,1,1,0.02915,0.02915,0.02893,0.02893,0.48764792,38.69,29.88,116.94,860.31,32.412056,25.724096,38.563362,46.88296,85.04205,32.775383,0.0,0.0,155.33879,0.0,0.0,520.88544
2023-06-01 14:00:00,6,15,5,0,24.444458,1.4063977e-05,57.321976,0.35630435,0.22648923,4.31503,0.0,645.004,0.0,24.444445,1,1,0.02915,0.02915,0.02893,0.02893,0.47971603,39.3,28.0,114.1,851.91,30.835533,25.26422,38.411854,46.870895,73.76996,18.526005,0.0,0.0,150.66127,0.0,0.0,537.24475
2023-06-01 15:00:00,6,16,5,0,24.444454,1.0339113e-05,56.916584,0.40504846,1.0209699,6.009754,0.0,553.2722,1.0,24.444445,1,1,0.05867,0.02915,0.02893,0.02893,0.4715013,39.53,26.56,107.21,815.19,30.552141,25.186548,39.420174,55.31255,70.31723,30.903234,0.0,0.0,100.104576,0.0,0.0,689.81714
2023-06-01 16:00:00,6,17,5,0,23.581625,0.02606897,59.098175,0.35936105,0.4529948,7.337235,0.0,421.39114,0.0,23.555555,1,1,0.05867,0.02893,0.02893,0.02893,0.46004352,39.16,26.25,99.99,741.94,28.47968,24.059202,40.33298,57.22131,70.75022,16.665543,0.0,0.0,94.994026,0.0,0.0,926.4824
2023-06-01 17:00:00,6,18,5,0,25.53245,-0.023105871,52.526154,0.7734966,0.0,4.635886,0.0,247.31622,2.0,25.555555,1,1,0.05867,0.02893,0.02893,0.02893,0.44940948,38.12,27.62,84.96,608.73,26.891977,23.315088,37.287792,67.40193,71.2515,19.478123,0.0,0.0,108.99303,0.0,0.0,562.6354
2023-06-01 18:00:00,6,19,5,0,26.459463,-0.040536057,49.811234,0.62408745,0.0,2.425167,0.0,67.321686,3.0,26.5,1,1,0.02915,0.02893,0.02893,0.02893,0.4388801,36.11,32.38,56.38,330.48,24.893063,24.264336,34.779358,62.686428,100.0,28.536032,0.0,72.68285,69.20958,0.0,131.84624,213.0252
2023-06-01 19:00:00,6,20,5,0,24.512663,0.06821779,55.866615,0.59456456,0.45299163,3.6458,0.0,-0.0,3.0,24.444445,1,1,0.02915,0.02893,0.02893,0.02893,0.4360906,32.61,43.31,0.0,0.0,26.027912,27.676418,31.511576,77.56025,57.886185,37.610645,0.0,141.08925,0.0,0.0,330.48743,0.0
2023-06-01 20:00:00,6,21,5,0,21.815445,0.14877775,64.49494,0.5288647,0.0,8.104759,0.0,0.0,2.0,21.666666,1,1,0.02915,0.02893,0.02893,0.02893,0.44039643,31.19,49.25,0.0,0.0,23.889338,28.889353,30.255564,86.35239,60.253628,54.0583,0.0,258.66507,0.0,0.0,338.32028,0.0
2023-06-01 21:00:00,6,22,5,0,24.36137,-0.08307481,55.649372,0.4542192,0.4529954,2.9250584,0.0,0.0,2.0,24.444445,1,1,0.02915,0.02893,0.02893,0.02893,0.44714594,29.6,56.25,0.0,0.0,24.212109,32.68576,32.217403,86.35721,57.351185,68.92527,0.0,146.93661,0.0,0.0,600.10016,0.0
2023-06-01 22:00:00,6,23,5,0,22.881008,0.047674306,60.760803,0.42151,0.0,3.1341848,0.0,0.0,2.0,22.833334,1,1,0.02893,0.02893,0.02893,0.02893,0.44966364,28.04,63.06,0.0,0.0,23.865452,33.536938,28.455322,97.5911,36.97088,38.012108,0.0,212.79843,0.0,0.0,856.48737,0.0
2023-06-01 23:00:00,6,24,5,0,20.818808,0.0965857,67.61147,0.3560788,0.0,6.387691,0.0,0.0,2.0,20.722221,1,1,0.02893,0.02893,0.02893,0.02893,0.44306177,26.8,69.69,0.0,0.0,25.319023,35.419365,27.428366,97.399284,33.311935,45.245033,0.0,170.47557,0.0,0.0,626.95514,0.0
2023-06-02 00:00:00,6,1,6,0,20.558743,0.00318737,67.57663,0.3542106,0.0,6.112397,0.0,0.0,2.0,20.555555,1,1,0.02893,0.02893,0.02893,0.02893,0.43100208,25.85,76.44,0.0,0.0,24.82682,38.487644,26.930542,93.0543,37.18174,61.58041,77.064224,108.35413,0.0,158.09053,858.2539,0.0
2023-06-02 01:00:00,6,2,6,0,21.598043,-0.06862341,63.6347,0.3527389,0.0,3.2023733,0.0,0.0,2.0,21.666666,1,1,0.02893,0.02893,0.02893,0.02893,0.39826325,25.19,83.19,0.0,0.0,28.007141,40.087215,26.822914,75.91922,27.210247,66.86085,170.9847,132.38855,0.0,329.76602,1096.8188,0.0
2023-06-02 02:00:00,6,3,6,0,22.219463,-0.0027596357,61.6931,0.3514371,0.0,1.6611965,0.0,0.0,2.0,22.222221,1,1,0.02893,0.02893,0.02893,0.02893,0.38313133,24.85,87.5,0.0,0.0,28.575554,39.17287,26.505304,60.401077,18.750456,86.42556,186.01118,109.953514,0.0,438.34097,808.9186,0.0
2023-06-02 03:00:00,6,4,6,0,22.222187,-3.487813e-05,62.09458,0.35007867,0.0,1.3634886,0.0,0.0,2.0,22.222221,1,1,0.02893,0.02893,0.02893,0.02893,0.37263355,24.76,88.75,0.0,0.0,31.373487,41.761425,25.137737,52.000034,28.015509,51.5656,170.15962,121.70549,0.0,618.1787,894.929,0.0
2023-06-02 04:00:00,6,5,6,0,22.22223,9.399251e-06,62.58145,1.3546944,0.0,1.5253298,0.0,0.0,3.0,22.222221,1,1,0.02893,0.02893,0.02893,0.02893,0.37101117,24.75,88.75,0.0,0.0,34.886,38.33062,23.993776,37.20747,24.715582,85.1998,190.49629,76.061295,0.0,810.07025,752.31616,0.0
2023-06-02 05:00:00,6,6,6,0,22.222021,-0.00020091754,63.94936,1.3658526,0.0,1.6484553,0.0,0.0,3.0,22.222221,1,1,0.02893,0.02893,0.02893,0.02893,0.36689994,24.69,88.69,0.0,0.0,36.866394,39.30375,26.774897,29.253086,23.264744,70.61654,144.76385,64.603226,0.0,831.3776,463.5365,0.0
2023-06-02 06:00:00,6,7,6,0,22.222225,2.0539192e-06,64.251526,1.4007384,0.0,1.7824824,0.0,29.413557,3.0,22.222221,1,1,0.02893,0.02893,0.02893,0.02893,0.37266985,25.41,83.62,64.66,180.9,38.795883,35.606453,26.333538,25.107906,24.866024,100.0,119.97658,52.005478,103.55492,699.2215,274.57483,89.15015
2023-06-02 07:00:00,6,8,6,0,22.331993,-0.0013396034,64.1351,0.40251273,0.0,1.8510537,0.0,135.22647,3.0,22.333334,1,1,0.02893,0.02893,0.02893,0.02893,0.38154596,27.01,72.88,149.62,288.82,39.334328,31.813728,26.191483,22.766144,36.46509,57.737057,101.84259,0.0,107.62614,966.9036,0.0,128.80284
2023-06-02 08:00:00,6,9,6,0,24.259184,-0.18526115,57.69856,0.3551725,0.0,0.3867634,0.0,298.613,2.0,24.444445,1,1,0.02893,0.02893,0.02893,0.02893,0.406686,29.38,59.5,203.7,457.82,40.448032,32.681683,28.218565,20.816807,42.240067,49.768223,100.2575,0.0,240.33485,988.92633,0.0,411.4483
2023-06-02 09:00:00,6,10,6,0,24.444231,-0.00021349841,57.247692,0.44680247,0.225318,1.0734125,0.0,466.0647,2.0,24.444445,1,1,0.02893,0.02893,0.02893,0.02893,0.42412165,32.06,46.31,185.7,670.79,40.090435,31.403639,31.022392,19.4303,48.81476,81.49802,122.70627,0.0,347.77078,847.10803,0.0,556.2995
2023-06-02 10:00:00,6,11,6,0,24.444448,3.4289433e-06,57.296566,1.4623153,0.0,2.0327563,0.0,583.1921,2.0,24.444445,1,1,0.02893,0.02893,0.02893,0.02893,0.46214747,34.51,37.75,167.12,767.73,39.045177,28.666231,30.647629,28.829994,70.3623,54.874424,99.26465,0.0,146.73325,827.8543,0.0,678.1331
2023-06-02 11:00:00,6,12,6,0,24.444448,4.692556e-06,57.19023,1.662307,0.20422593,2.8338466,0.0,648.8753,2.0,24.444445,1,1,0.02893,0.02893,0.02893,0.02893,0.4817733,36.64,32.44,157.48,799.56,37.700897,28.192009,34.1882,25.488235,80.52631,59.1889,73.49269,0.0,216.5898,672.7493,0.0,775.8088
